dt,base_byers_price_index,key_rate,dollar_rate
2020-05-09,,,73.8725
2020-05-12,,5.5,
2020-05-13,,5.5,73.4326
2020-05-14,,5.5,73.5819
2020-05-15,,5.5,73.9298
2020-05-16,,,73.2056
2020-05-18,,5.5,
2020-05-19,,5.5,72.9798
2020-05-20,,5.5,72.3918
2020-05-21,,5.5,72.3381
2020-05-22,,5.5,70.924
2020-05-23,,,71.8804
2020-05-25,,5.5,
2020-05-26,,5.5,71.5962
2020-05-27,,5.5,71.1408
2020-05-28,,5.5,71.0635
2020-05-29,,5.5,71.1012
2020-05-30,,,70.752
2020-05-31,,,
2020-06-01,,5.5,
2020-06-02,,5.5,69.7114
2020-06-03,,5.5,68.9831
2020-06-04,,5.5,68.3413
2020-06-05,,5.5,69.0151
2020-06-06,,,68.6319
2020-06-08,,5.5,
2020-06-09,,5.5,68.3123
2020-06-10,,5.5,68.6745
2020-06-11,,5.5,68.6183
2020-06-12,,,69.1219
2020-06-15,,5.5,
2020-06-16,,5.5,70.395
2020-06-17,,5.5,69.7524
2020-06-18,,5.5,69.4822
2020-06-19,,5.5,69.618
2020-06-20,,,69.5725
2020-06-22,,4.5,
2020-06-23,,4.5,69.4835
2020-06-24,,,68.8376
2020-06-25,,4.5,68.8376
2020-06-26,,4.5,69.466
2020-06-27,,,69.1284
2020-06-29,,4.5,
2020-06-30,,4.5,69.9513
2020-07-01,,,70.4413
2020-07-02,,4.5,70.4413
2020-07-03,,4.5,70.5198
2020-07-04,,,70.4999
2020-07-06,,4.5,
2020-07-07,,4.5,71.3409
2020-07-08,,4.5,72.1719
2020-07-09,,4.5,71.2379
2020-07-10,,4.5,70.88
2020-07-11,,,71.2298
2020-07-13,,4.5,
2020-07-14,,4.5,70.7479
2020-07-15,,4.5,71.1275
2020-07-16,,4.5,70.7998
2020-07-17,,4.5,71.231
2020-07-18,,,71.7139
2020-07-20,,4.5,
2020-07-21,,4.5,71.9628
2020-07-22,,4.5,70.9668
2020-07-23,,4.5,70.7881
2020-07-24,,4.5,70.963
2020-07-25,,,71.5974
2020-07-27,,4.25,
2020-07-28,,4.25,71.585
2020-07-29,,4.25,71.9196
2020-07-30,,4.25,72.2348
2020-07-31,,4.25,73.3633
2020-08-01,,,73.4261
2020-08-03,,4.25,
2020-08-04,,4.25,74.1586
2020-08-05,,4.25,73.3806
2020-08-06,,4.25,73.2806
2020-08-07,,4.25,73.0397
2020-08-08,,,73.6376
2020-08-10,,4.25,
2020-08-11,,4.25,73.775
2020-08-12,,4.25,73.1522
2020-08-13,,4.25,73.2351
2020-08-14,,4.25,73.6067
2020-08-15,,,73.2157
2020-08-17,,4.25,
2020-08-18,,4.25,72.9676
2020-08-19,,4.25,73.4321
2020-08-20,,4.25,73.2392
2020-08-21,,4.25,73.7711
2020-08-22,,,74.0999
2020-08-24,,4.25,
2020-08-25,,4.25,74.4184
2020-08-26,,4.25,74.5126
2020-08-27,,4.25,75.5379
2020-08-28,,4.25,75.2354
2020-08-29,,,74.6382
2020-08-31,,4.25,
